case,arm,trajectory_id,checkpoint,actual_calls,complete,u_obs,output_tokens,seconds,facts,precedent,run
acquisition__keycloak__client-auth-method,mcp,1039540757,10,10,true,0.5333,9385,128,A1|A2|A3|C1|E1|F1|G2|H2,true,1039540757
acquisition__keycloak__client-auth-method,mcp,1039540757,20,16,false,0.5333,13158,196,A1|A2|A3|C1|E1|F1|G2|H2,true,1039540757
acquisition__keycloak__client-auth-method,mcp,1039540757,40,16,false,0.5333,13158,196,A1|A2|A3|C1|E1|F1|G2|H2,true,1039540757
acquisition__keycloak__oauth-grant-type,shell,1039540759,5,5,true,0.2,3554,5,A2|C1|C2,false,1039540759
acquisition__keycloak__oauth-grant-type,shell,1039540759,10,10,true,0.4,4065,8,A1|A2|C1|C2|D1|E1,true,1039540759
acquisition__keycloak__oauth-grant-type,shell,1039540759,20,20,true,0.6,5491,13,A1|A2|C1|C2|D1|E1|F1|G2|H1,true,1039540759
acquisition__keycloak__oauth-grant-type,shell,1039540759,40,40,true,0.7333,8386,46,A1|A2|A3|C1|C2|D1|E1|F1|G1|G2|H1,true,1039540759
acquisition__keycloak__oauth-grant-type,shell,1039540761,5,5,true,0.0,2487,13,,false,1039540761
acquisition__keycloak__oauth-grant-type,shell,1039540761,10,10,true,0.2667,3168,18,A2|C1|C2|F1,false,1039540761
acquisition__keycloak__oauth-grant-type,shell,1039540761,20,20,true,0.5333,4757,30,A1|A2|B1|B2|C1|C2|E1|F1,true,1039540761
acquisition__keycloak__oauth-grant-type,shell,1039540761,40,40,true,0.7333,7958,77,A1|A2|B1|B2|C1|C2|E1|F1|G1|G2|H1,true,1039540761
acquisition__keycloak__oauth-grant-type,mcp,1039540763,5,5,true,0.4667,4761,71,A1|A2|C1|C2|E1|G2|H1,true,1039540763
acquisition__keycloak__oauth-grant-type,mcp,1039540763,10,10,true,0.6667,8755,129,A1|A2|B1|C1|C2|E1|F1|G1|G2|H1,true,1039540763
acquisition__keycloak__oauth-grant-type,mcp,1039540763,20,20,true,0.7333,17785,250,A1|A2|B1|C1|C2|D1|E1|F1|G1|G2|H1,true,1039540763
acquisition__keycloak__oauth-grant-type,mcp,1039540763,40,20,false,0.7333,17785,250,A1|A2|B1|C1|C2|D1|E1|F1|G1|G2|H1,true,1039540763
acquisition__keycloak__rename-method-wide,mcp,1039540765,5,5,true,0.7273,7635,109,A1|C1|C2|D1|D2|D3|H1|I1,true,1039540765
acquisition__keycloak__rename-method-wide,mcp,1039540765,10,10,true,0.7273,13018,186,A1|C1|C2|D1|D2|D3|H1|I1,true,1039540765
acquisition__keycloak__rename-method-wide,mcp,1039540765,20,10,false,0.7273,13018,186,A1|C1|C2|D1|D2|D3|H1|I1,true,1039540765
acquisition__keycloak__rename-method-wide,mcp,1039540765,40,10,false,0.7273,13018,186,A1|C1|C2|D1|D2|D3|H1|I1,true,1039540765
acquisition__keycloak__rename-method-wide,shell,1039540767,5,5,true,0.5455,1398,11,C1|C2|D1|D2|D3|I1,false,1039540767
acquisition__keycloak__rename-method-wide,shell,1039540767,10,10,true,0.7273,2681,29,A1|C1|C2|D1|D2|D3|H1|I1,true,1039540767
acquisition__keycloak__rename-method-wide,shell,1039540767,20,17,false,0.8182,4987,74,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039540767
acquisition__keycloak__rename-method-wide,shell,1039540767,40,17,false,0.8182,4987,74,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039540767
acquisition__keycloak__email-domain-mapper,mcp,1039540769,5,5,true,0.5,3384,41,A1|C1|D2|E1|F1|G2,true,1039540769
acquisition__keycloak__email-domain-mapper,mcp,1039540769,10,10,true,0.6667,5823,73,A1|C1|D2|E1|E2|F1|G1|G2,true,1039540769
acquisition__keycloak__email-domain-mapper,mcp,1039540769,20,16,false,0.8333,8140,128,A1|C1|D1|D2|E1|E2|F1|G1|G2|H1,true,1039540769
acquisition__keycloak__email-domain-mapper,mcp,1039540769,40,16,false,0.8333,8140,128,A1|C1|D1|D2|E1|E2|F1|G1|G2|H1,true,1039540769
acquisition__keycloak__email-domain-mapper,shell,1039540771,5,5,true,0.25,4420,7,A1|C1|F1,true,1039540771
acquisition__keycloak__email-domain-mapper,shell,1039540771,10,10,true,0.5,5116,11,A1|C1|D1|E1|F1|G2,true,1039540771
acquisition__keycloak__email-domain-mapper,shell,1039540771,20,20,true,0.75,6809,16,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039540771
acquisition__keycloak__email-domain-mapper,shell,1039540771,40,40,true,0.8333,10117,54,A1|C1|D1|D2|E1|E2|F1|G1|G2|H1,true,1039540771
acquisition__keycloak__client-auth-method,mcp,1039566520,5,5,true,0.4,4990,69,A1|A2|C1|E2|F1|H2,true,1039566520
acquisition__keycloak__client-auth-method,mcp,1039566520,10,10,true,0.6,9248,122,A1|A2|B1|C1|E1|E2|F1|H1|H2,true,1039566520
acquisition__keycloak__client-auth-method,mcp,1039566520,20,18,false,0.6,16400,235,A1|A2|B1|C1|E1|E2|F1|H1|H2,true,1039566520
acquisition__keycloak__client-auth-method,mcp,1039566520,40,18,false,0.6,16400,235,A1|A2|B1|C1|E1|E2|F1|H1|H2,true,1039566520
acquisition__keycloak__client-auth-method,shell,1039566522,5,5,true,0.2667,1493,12,A1|A2|F1|H2,true,1039566522
acquisition__keycloak__client-auth-method,shell,1039566522,10,10,true,0.4667,3116,30,A1|A2|A3|C1|E1|F1|H2,true,1039566522
acquisition__keycloak__client-auth-method,shell,1039566522,20,20,true,0.4667,6049,76,A1|A2|A3|C1|E1|F1|H2,true,1039566522
acquisition__keycloak__client-auth-method,shell,1039566522,40,29,false,0.6667,9591,142,A1|A2|A3|C1|E1|F1|G2|H1|H2|I1,true,1039566522
acquisition__keycloak__oauth-grant-type,mcp,1039566524,5,5,true,0.6,7148,78,A1|A2|C2|D1|E1|F1|G1|G2|H1,true,1039566524
acquisition__keycloak__oauth-grant-type,mcp,1039566524,10,10,true,0.6667,11201,134,A1|A2|A3|C2|D1|E1|F1|G1|G2|H1,true,1039566524
acquisition__keycloak__oauth-grant-type,mcp,1039566524,20,15,false,0.7333,13138,177,A1|A2|A3|C2|D1|E1|F1|G1|G2|H1|I1,true,1039566524
acquisition__keycloak__oauth-grant-type,mcp,1039566524,40,15,false,0.7333,13138,177,A1|A2|A3|C2|D1|E1|F1|G1|G2|H1|I1,true,1039566524
acquisition__keycloak__oauth-grant-type,shell,1039566526,5,5,true,0.2,1774,11,A2|C1|C2,false,1039566526
acquisition__keycloak__oauth-grant-type,shell,1039566526,10,10,true,0.2667,2185,14,A2|C1|C2|D1,false,1039566526
acquisition__keycloak__oauth-grant-type,shell,1039566526,20,20,true,0.6667,3374,25,A1|A2|B1|B2|C1|C2|D1|E1|G1|I1,true,1039566526
acquisition__keycloak__oauth-grant-type,shell,1039566526,40,40,true,0.8,6458,72,A1|A2|B1|B2|C1|C2|D1|E1|G1|G2|H1|I1,true,1039566526
acquisition__keycloak__rename-method-wide,mcp,1039566663,5,5,true,0.7273,5471,68,A1|C1|D1|D2|D3|H1|H2|I1,true,1039566663
acquisition__keycloak__rename-method-wide,mcp,1039566663,10,9,false,0.8182,7492,110,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566663
acquisition__keycloak__rename-method-wide,mcp,1039566663,20,9,false,0.8182,7492,110,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566663
acquisition__keycloak__rename-method-wide,mcp,1039566663,40,9,false,0.8182,7492,110,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566663
acquisition__keycloak__rename-method-wide,shell,1039566789,5,5,true,0.3636,1525,13,A1|C1|D2|I1,true,1039566789
acquisition__keycloak__rename-method-wide,shell,1039566789,10,10,true,0.5455,3376,49,A1|C1|C2|D2|D3|I1,true,1039566789
acquisition__keycloak__rename-method-wide,shell,1039566789,20,19,false,0.6364,7083,101,A1|C1|C2|D1|D2|D3|I1,true,1039566789
acquisition__keycloak__rename-method-wide,shell,1039566789,40,19,false,0.6364,7083,101,A1|C1|C2|D1|D2|D3|I1,true,1039566789
acquisition__keycloak__rename-method-wide,mcp,1039566791,5,5,true,0.8182,8723,99,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566791
acquisition__keycloak__rename-method-wide,mcp,1039566791,10,9,false,0.8182,15550,181,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566791
acquisition__keycloak__rename-method-wide,mcp,1039566791,20,9,false,0.8182,15550,181,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566791
acquisition__keycloak__rename-method-wide,mcp,1039566791,40,9,false,0.8182,15550,181,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566791
acquisition__keycloak__rename-method-wide,shell,1039566793,5,5,true,0.5455,2483,18,A1|C1|D1|D2|D3|I1,true,1039566793
acquisition__keycloak__rename-method-wide,shell,1039566793,10,10,true,0.8182,5219,63,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566793
acquisition__keycloak__rename-method-wide,shell,1039566793,20,15,false,0.8182,6463,99,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566793
acquisition__keycloak__rename-method-wide,shell,1039566793,40,15,false,0.8182,6463,99,A1|C1|C2|D1|D2|D3|H1|H2|I1,true,1039566793
acquisition__keycloak__email-domain-mapper,mcp,1039566795,5,5,true,0.5,4623,55,A1|C1|D2|E1|F1|G2,true,1039566795
acquisition__keycloak__email-domain-mapper,mcp,1039566795,10,10,true,0.6667,9105,126,A1|C1|D1|D2|E1|F1|G2|H1,true,1039566795
acquisition__keycloak__email-domain-mapper,mcp,1039566795,20,16,false,0.75,15067,199,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039566795
acquisition__keycloak__email-domain-mapper,mcp,1039566795,40,16,false,0.75,15067,199,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039566795
acquisition__keycloak__email-domain-mapper,shell,1039566797,5,5,true,0.4167,2378,23,A1|C1|D2|E1|G2,true,1039566797
acquisition__keycloak__email-domain-mapper,shell,1039566797,10,10,true,0.5833,5940,46,A1|C1|D2|E1|E2|F1|G2,true,1039566797
acquisition__keycloak__email-domain-mapper,shell,1039566797,20,20,true,0.8333,11675,130,A1|C1|D1|D2|E1|E2|F1|G1|G2|H1,true,1039566797
acquisition__keycloak__email-domain-mapper,shell,1039566797,40,23,false,0.8333,13254,165,A1|C1|D1|D2|E1|E2|F1|G1|G2|H1,true,1039566797
acquisition__keycloak__email-domain-mapper,mcp,1039566799,5,5,true,0.75,4587,65,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039566799
acquisition__keycloak__email-domain-mapper,mcp,1039566799,10,10,true,0.75,8401,130,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039566799
acquisition__keycloak__email-domain-mapper,mcp,1039566799,20,20,true,0.9167,15815,236,A1|B1|C1|D1|D2|E1|E2|F1|G1|G2|H1,true,1039566799
acquisition__keycloak__email-domain-mapper,mcp,1039566799,40,22,false,0.9167,16471,252,A1|B1|C1|D1|D2|E1|E2|F1|G1|G2|H1,true,1039566799
acquisition__keycloak__email-domain-mapper,shell,1039566801,5,5,true,0.6667,1801,14,A1|C1|D1|D2|E1|F1|G2|H1,true,1039566801
acquisition__keycloak__email-domain-mapper,shell,1039566801,10,10,true,0.75,3732,38,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039566801
acquisition__keycloak__email-domain-mapper,shell,1039566801,20,20,true,0.75,7919,120,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039566801
acquisition__keycloak__email-domain-mapper,shell,1039566801,40,21,false,0.75,8533,127,A1|C1|D1|D2|E1|F1|G1|G2|H1,true,1039566801
