agentBuildSuccess,agentModel,agentSecondsArena,agentSecondsVerdict,agentTestsFail,agentTestsRun,apiSeconds,apiTransportError,arm,baselineFailing,baselinePassing,bashCalls,budgetExhausted,buildId,cacheCreationTokens,cacheReadTokens,capture,checkpoint,claimedFix,costUsdArena,editCalls,editFraction,editsAndWrites,endContextTokens,execCodeCalls,exitCode,fileCov,ftpClassesPassed,ftpClassesTotal,ftpTampered,ftpTestsFailed,ftpTestsRun,globCalls,grepCalls,grid,inputTokens,layerCov,lostReason,milestone,numTurns,outcome,outputTokens,patchChars,position,postSuiteLine,prewarmSeconds,readCalls,regressions,replicate,step,success,testPatchFilesEdited,toolCalls,upstreamSeconds,upstreamTokens,upstreamToolCalls,usageEventMissing,usdVerdict,usedMcp,verdict,verifierObjective,verifyMavenExit,writeCalls
True,claude-haiku-4-5,242,242,0,77,47,,mcp2,0,8,14,False,1037267678,51258,912009,2,3,True,0.1776554,0,0.091,0,72791,0,0,0.8462,5,5,False,0,77,0,0,fraction,120,1.0,,Mapi,20,solved,3308,36107,0.6,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,5,0,1,15,1,,19,451.0,40175.0,15.0,False,0.1777,False,Y=1,True,0,0
False,claude-haiku-4-5,1770,1770,0,77,93,,mcp2,0,8,36,False,1037267680,67292,3564707,2,3,True,0.4866387,1,0.091,1,88825,0,0,0.8462,5,5,False,0,77,0,0,fraction,296,1.0,,Mapi,53,solved,8006,36107,0.6,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,15,0,2,15,1,,52,451.0,40175.0,15.0,False,0.4866,False,Y=1,True,0,0
True,claude-haiku-4-5,1220,1220,0,84,99,,mcp2,0,8,27,False,1037267682,91307,2458693,2,3,True,0.40432604999999994,0,0.091,2,65160,0,0,0.8462,5,5,False,0,77,0,0,fraction,276,1.0,,Mapi,49,solved,7664,36107,0.6,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,16,0,3,15,1,,45,451.0,40175.0,15.0,False,0.4043,False,Y=1,True,0,2
True,claude-haiku-4-5,270,270,0,84,60,,mcp2,0,8,16,False,1037267684,60592,1678401,2,3,True,0.2744261,1,0.091,1,82127,0,0,0.8462,5,5,False,0,77,0,0,fraction,184,1.0,,Mapi,32,solved,4987,36107,0.6,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,14,0,4,15,1,,31,451.0,40175.0,15.0,False,0.2744,False,Y=1,True,0,0
True,claude-haiku-4-5,301,301,0,84,52,,mcp2,0,8,14,False,1037267686,51808,1448218,2,3,True,0.2377658,0,0.091,0,73345,0,0,0.8462,5,5,False,0,77,0,0,fraction,162,1.0,,Mapi,28,solved,4460,36107,0.6,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,13,0,5,15,1,,27,451.0,40175.0,15.0,False,0.2378,False,Y=1,True,0,0
True,claude-haiku-4-5,758,758,0,84,70,,mcp2,0,8,22,False,1037248648,67796,1805865,2,4,True,0.29982049999999993,1,0.818,1,89332,0,0,0.8462,5,5,False,0,77,0,0,fraction,187,1.0,,last-distinct,37,solved,5715,36031,0.92,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,13,0,1,23,1,,36,802.0,43013.0,23.0,False,0.2998,False,Y=1,True,0,0
True,claude-haiku-4-5,232,232,0,77,50,,mcp2,0,8,15,False,1037267688,62400,1257478,2,4,True,0.22979880000000003,0,0.818,0,71961,0,0,0.8462,5,5,False,0,77,0,0,fraction,159,1.0,,last-distinct,27,solved,4033,36031,0.92,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,11,0,2,23,1,,26,802.0,43013.0,23.0,False,0.2298,False,Y=1,True,0,0
True,claude-haiku-4-5,259,259,0,77,47,,mcp2,0,8,15,False,1037267690,43117,964963,2,4,True,0.17488655,0,0.818,0,64653,0,0,0.8462,5,5,False,0,77,0,0,fraction,137,1.0,,last-distinct,23,solved,3727,36031,0.92,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,7,0,3,23,1,,22,802.0,43013.0,23.0,False,0.1749,False,Y=1,True,0,0
True,claude-haiku-4-5,433,433,0,84,66,,mcp2,0,8,22,False,1037267692,77303,2228421,2,4,True,0.3508148500000001,1,0.818,1,91394,0,0,0.8462,5,5,False,0,77,0,0,fraction,207,1.0,,last-distinct,36,solved,5082,36031,0.92,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,12,0,4,23,1,,35,802.0,43013.0,23.0,False,0.3508,False,Y=1,True,0,0
False,claude-haiku-4-5,1800,1800,0,77,,,mcp2,0,8,35,True,1037267694,,,2,4,False,,1,0.818,1,63685,0,-1,0.8462,5,5,False,0,77,0,0,fraction,,1.0,,last-distinct,,solved,,36031,0.92,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,10,0,5,23,1,,46,802.0,43013.0,23.0,True,,False,Y=1,True,0,0
True,claude-haiku-4-5,1417,1417,0,84,246,,none2,0,8,37,False,1037267696,123045,8721923,2,1,True,1.17571555,24,0.0,27,144236,0,0,0.0,5,5,False,,,0,0,fraction,555,0.1429,,M0,101,solved,28688,456,0.3333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,36,0,1,16,1,,100,744.0,17430.0,16.0,False,1.1757,False,Y=1,True,0,3
True,claude-haiku-4-5,1644,1644,0,77,247,,none2,0,8,42,False,1037267698,105858,7999413,2,1,True,1.0734917999999998,29,0.0,31,119601,0,0,0.0,5,5,False,0,77,0,0,fraction,571,0.1429,,M0,105,solved,26986,456,0.3333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,31,0,2,16,1,,104,744.0,17430.0,16.0,False,1.0735,False,Y=1,True,0,2
True,claude-haiku-4-5,1518,1518,0,25,298,,none2,0,8,43,False,1037267700,109365,8748198,2,1,True,1.1822630500000002,37,0.0,39,130553,0,0,0.0,5,5,False,0,77,0,0,fraction,635,0.1429,,M0,115,solved,32876,456,0.3333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,32,0,3,16,1,,114,744.0,17430.0,16.0,False,1.1823,False,Y=1,True,0,2
False,claude-haiku-4-5,1800,1800,1,1,,,none2,0,8,48,True,1037267702,,,2,1,False,,31,0.0,33,115529,0,-1,0.0,2,5,False,,,0,0,fraction,,0.1429,,M0,,failed,,456,0.3333,"[ARENA-VERIFY] post-agent full suite: exit=0, 12 classes reported, 10 passing",0,32,0,4,16,0,,113,744.0,17430.0,16.0,True,,False,Y=0,False,143,2
True,claude-haiku-4-5,993,993,0,77,191,,none2,0,8,35,False,1037267704,109625,5799429,2,1,True,0.84477915,27,0.0,29,119190,0,0,0.0,5,5,False,0,77,0,0,fraction,438,0.1429,,M0,90,solved,24329,456,0.3333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,25,0,5,16,1,,89,744.0,17430.0,16.0,False,0.8448,False,Y=1,True,0,2
True,claude-haiku-4-5,1191,1191,0,77,139,,none2,0,8,34,False,1037267706,107157,4370745,2,2,True,0.6506337500000001,10,0.75,10,116715,0,0,0.7692,5,5,False,,,0,0,fraction,376,0.8571,,Mapi-1,66,solved,14702,25044,0.8333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,21,0,1,40,1,,65,871.0,25087.0,40.0,False,0.6506,False,Y=1,True,0,0
True,claude-haiku-4-5,796,796,0,84,135,,none2,0,8,29,False,1037267708,76635,3647308,2,2,True,0.5373215500000001,11,0.75,11,98190,0,0,0.7692,5,5,False,0,77,0,0,fraction,340,0.8571,,Mapi-1,60,solved,14147,25044,0.8333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,19,0,2,40,1,,59,871.0,25087.0,40.0,False,0.5373,False,Y=1,True,0,0
True,claude-haiku-4-5,813,813,0,25,120,,none2,0,8,24,False,1037267710,84351,3551272,2,2,True,0.53278495,11,0.75,11,105910,0,0,0.7692,5,5,False,0,77,0,0,fraction,322,0.8571,,Mapi-1,57,solved,13235,25044,0.8333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,21,0,3,40,1,,56,871.0,25087.0,40.0,False,0.5328,False,Y=1,True,0,0
True,claude-haiku-4-5,650,650,0,84,123,,none2,0,8,23,False,1037267712,88858,3338591,2,2,True,0.5130206,12,0.75,12,110413,0,0,0.7692,5,5,False,0,77,0,0,fraction,327,0.8571,,Mapi-1,58,solved,12408,25044,0.8333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,22,0,4,40,1,,57,871.0,25087.0,40.0,False,0.513,False,Y=1,True,0,0
True,claude-haiku-4-5,1392,1392,0,84,165,,none2,0,8,36,False,1037267714,95117,5552901,2,2,True,0.7642513500000001,9,0.75,9,104676,0,0,0.7692,5,5,False,0,77,0,0,fraction,438,0.8571,,Mapi-1,80,solved,16780,25044,0.8333,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,34,0,5,40,1,,79,871.0,25087.0,40.0,False,0.7643,False,Y=1,True,0,0
True,claude-haiku-4-5,1561,1561,0,77,99,,none2,0,8,30,False,1037267716,93413,3785167,2,3,True,0.53847095,1,0.781,1,102972,0,0,0.8462,5,5,False,0,77,0,0,fraction,306,1.0,,Mapi,57,solved,7431,37711,0.8542,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,25,0,1,41,1,,56,877.0,25176.0,41.0,False,0.5385,False,Y=1,True,0,0
False,claude-haiku-4-5,1452,1452,0,84,75,,none2,0,8,28,False,1037267718,56220,2052249,2,3,True,0.3131779000000001,1,0.781,1,70358,0,0,0.8462,5,5,False,0,77,0,0,fraction,226,1.0,,Mapi,41,solved,6346,37711,0.8542,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,11,0,2,41,1,,40,877.0,25176.0,41.0,False,0.3132,False,Y=1,True,0,0
True,claude-haiku-4-5,269,269,0,77,62,,none2,0,8,16,False,1037267720,59637,1307513,2,3,True,0.23616955000000003,0,0.781,0,73778,0,0,0.8462,5,5,False,0,77,0,0,fraction,160,1.0,,Mapi,27,solved,4998,37711,0.8542,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,10,0,3,41,1,,26,877.0,25176.0,41.0,False,0.2362,False,Y=1,True,0,0
True,claude-haiku-4-5,261,261,0,84,39,,none2,0,8,16,False,1037267722,35965,730528,2,3,True,0.13823605000000003,1,0.781,1,57556,0,0,0.8462,5,5,False,0,77,0,0,fraction,115,1.0,,Mapi,20,solved,2877,37711,0.8542,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,2,0,4,41,1,,19,877.0,25176.0,41.0,False,0.1382,False,Y=1,True,0,0
True,claude-haiku-4-5,163,163,0,84,40,,none2,0,8,13,False,1037267730,67202,836690,2,3,True,0.1893705,0,0.781,0,76759,0,0,0.8462,5,5,False,0,77,0,0,fraction,122,1.0,,Mapi,21,solved,3170,37711,0.8542,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,7,0,5,41,1,,20,877.0,25176.0,41.0,False,0.1894,False,Y=1,True,0,0
True,claude-haiku-4-5,936,936,0,84,76,,none2,0,8,24,False,1037267732,61929,1900879,2,4,True,0.30657715,1,0.875,1,76095,0,0,0.9231,5,5,False,0,77,0,0,fraction,226,1.0,,last-distinct,40,solved,6626,39152,0.9167,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,13,0,1,44,1,,38,922.0,29508.0,44.0,False,0.3066,False,Y=1,True,0,0
True,claude-haiku-4-5,228,228,0,77,65,,none2,0,8,11,False,1037267734,76035,1693326,2,4,True,0.29576835000000007,1,0.875,1,85597,0,0,0.9231,5,5,False,0,77,0,0,fraction,185,1.0,,last-distinct,32,solved,5097,39152,0.9167,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,19,0,2,44,1,,31,922.0,29508.0,44.0,False,0.2958,False,Y=1,True,0,0
True,claude-haiku-4-5,305,305,0,84,57,,none2,0,8,16,False,1037267736,53067,1424068,2,4,True,0.23889554999999998,1,0.875,1,74678,0,0,0.9231,5,5,False,0,77,0,0,fraction,168,1.0,,last-distinct,29,solved,4853,39152,0.9167,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,11,0,3,44,1,,28,922.0,29508.0,44.0,False,0.2389,False,Y=1,True,0,0
True,claude-haiku-4-5,670,670,0,77,79,,none2,0,8,25,False,1037267738,72198,2296134,2,4,True,0.35640589999999994,0,0.875,0,86368,0,0,0.9231,5,5,False,0,77,0,0,fraction,228,1.0,,last-distinct,40,solved,6117,39152,0.9167,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,14,0,4,44,1,,39,922.0,29508.0,44.0,False,0.3564,False,Y=1,True,0,0
True,claude-haiku-4-5,349,349,0,77,70,,none2,0,8,20,False,1037267740,63323,2051443,2,4,True,0.31857005000000005,0,0.875,0,84937,0,0,0.9231,5,5,False,0,77,0,0,fraction,200,1.0,,last-distinct,43,solved,5670,39152,0.9167,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,22,0,5,44,1,,42,922.0,29508.0,44.0,False,0.3186,False,Y=1,True,0,0
