case,arm,checkpointId,checkpointIndex,step,replicate,buildId,Y,exitReason,outputTokens,inputTokens,toolCalls,editActions,usd,agentSeconds,numTurns,censored,lost,lostReason,budgetExhausted,tampered,agentModel,apiTransportError,editFraction,position,patchChars
feature-service-25,fs25-none,C1,1,10,4,1037610507,1,solved,10699,302,52,13,0.38689180000000006,338,53,0,0,,0,0,claude-haiku-4-5,,0.000,0.2381,516
feature-service-25,fs25-none,C1,1,10,5,1037610509,1,solved,10528,285,50,13,0.3629993999999999,251,51,0,0,,0,0,claude-haiku-4-5,,0.000,0.2381,516
feature-service-25,fs25-none,C2,2,24,1,1037610511,1,solved,10381,258,44,8,0.35723630000000006,257,45,0,0,,0,0,claude-haiku-4-5,,0.438,0.5714,5696
feature-service-25,fs25-none,C2,2,24,2,1037610513,1,solved,11303,276,51,11,0.37514195,335,52,0,0,,0,0,claude-haiku-4-5,,0.438,0.5714,5696
feature-service-25,fs25-none,C2,2,24,3,1037610515,1,solved,10125,278,49,6,0.41672005,259,50,0,0,,0,0,claude-haiku-4-5,,0.438,0.5714,5696
feature-service-25,fs25-none,C2,2,24,4,1037610517,1,solved,7821,186,37,7,0.2563434,268,38,0,0,,0,0,claude-haiku-4-5,,0.438,0.5714,5696
feature-service-25,fs25-none,C2,2,24,5,1037610519,1,solved,9009,229,42,7,0.30177115,328,43,0,0,,0,0,claude-haiku-4-5,,0.438,0.5714,5696
feature-service-25,fs25-none,C3,3,30,1,1037610521,1,solved,,,50,9,,900,,1,0,,1,0,claude-haiku-4-5,,0.625,0.7143,9249
feature-service-25,fs25-none,C3,3,30,2,1037610523,1,solved,7106,157,29,4,0.24826720000000002,203,30,0,0,,0,0,claude-haiku-4-5,,0.625,0.7143,9249
feature-service-25,fs25-none,C3,3,30,3,1037610525,1,solved,7241,255,43,4,0.3206277,396,44,0,0,,0,0,claude-haiku-4-5,,0.625,0.7143,9249
feature-service-25,fs25-none,C3,3,30,4,1037610528,1,solved,9398,233,40,5,0.3419902999999999,483,41,0,0,,0,0,claude-haiku-4-5,,0.625,0.7143,9249
feature-service-25,fs25-none,C3,3,30,5,1037610530,1,solved,9000,192,39,6,0.30032735,458,40,0,0,,0,0,claude-haiku-4-5,,0.625,0.7143,9249
feature-service-25,fs25-none,C4,4,31,1,1037610532,1,solved,5260,172,29,3,0.21526995000000004,312,30,0,0,,0,0,claude-haiku-4-5,,0.656,0.7381,10292
feature-service-25,fs25-none,C4,4,31,2,1037610534,1,solved,,,41,4,,900,,1,0,,1,0,claude-haiku-4-5,,0.656,0.7381,10292
feature-service-25,fs25-none,C4,4,31,3,1037610536,1,solved,6582,168,34,4,0.27470030000000006,235,35,0,0,,0,0,claude-haiku-4-5,,0.656,0.7381,10292
feature-service-25,fs25-none,C4,4,31,4,1037610538,1,solved,,,41,6,,900,,1,0,,1,0,claude-haiku-4-5,,0.656,0.7381,10292
feature-service-25,fs25-none,C4,4,31,5,1037610540,1,solved,6660,205,34,3,0.26727825000000005,342,35,0,0,,0,0,claude-haiku-4-5,,0.656,0.7381,10292
feature-service-25,fs25-none,C5,5,38,1,1037610542,1,solved,4005,152,30,0,0.19958030000000002,471,31,0,0,,0,0,claude-haiku-4-5,,0.875,0.9048,15365
feature-service-25,fs25-none,C5,5,38,2,1037610544,1,solved,,,31,0,,900,,1,0,,1,0,claude-haiku-4-5,,0.875,0.9048,15365
feature-service-25,fs25-none,C5,5,38,3,1037610546,1,solved,3686,130,21,0,0.1599567,531,22,0,0,,0,0,claude-haiku-4-5,,0.875,0.9048,15365
feature-service-25,fs25-none,C5,5,38,4,1037610548,1,solved,4321,151,26,0,0.18990455000000003,671,28,0,0,,0,0,claude-haiku-4-5,,0.875,0.9048,15365
feature-service-25,fs25-none,C5,5,38,5,1037610550,1,solved,3164,112,22,0,0.15527814999999998,348,23,0,0,,0,0,claude-haiku-4-5,,0.875,0.9048,15365
jhipster-3,jh3-none,C1,1,13,1,1037610552,1,solved,,,39,7,,900,,1,0,,1,0,claude-haiku-4-5,,0.000,0.5200,638
jhipster-3,jh3-none,C1,1,13,2,1037610554,1,solved,,,29,4,,900,,1,0,,1,0,claude-haiku-4-5,,0.000,0.5200,638
jhipster-3,jh3-none,C1,1,13,3,1037610556,0,budget-exhausted,,,33,5,,900,,1,0,,1,0,claude-haiku-4-5,,0.000,0.5200,638
jhipster-3,jh3-none,C1,1,13,4,1037610558,1,solved,,,37,8,,900,,1,0,,1,0,claude-haiku-4-5,,0.000,0.5200,638
jhipster-3,jh3-none,C1,1,13,5,1037610560,1,solved,6647,217,40,7,0.2660487,871,41,0,0,,0,0,claude-haiku-4-5,,0.000,0.5200,638
jhipster-3,jh3-none,C2,2,15,1,1037610562,1,solved,4723,2150,26,0,0.19707975,818,27,0,0,,0,0,claude-haiku-4-5,,0.200,0.6000,5753
jhipster-3,jh3-none,C2,2,15,2,1037610564,1,solved,5337,165,35,1,0.27082799999999996,706,36,0,0,,0,0,claude-haiku-4-5,,0.200,0.6000,5753
jhipster-3,jh3-none,C2,2,15,3,1037610566,1,solved,,,22,0,,900,,1,0,,1,0,claude-haiku-4-5,,0.200,0.6000,5753
jhipster-3,jh3-none,C2,2,15,4,1037610568,1,solved,5884,148,31,0,0.20392595000000002,700,32,0,0,,0,0,claude-haiku-4-5,,0.200,0.6000,5753
jhipster-3,jh3-none,C2,2,15,5,1037610570,1,solved,4446,682,26,0,0.15414569999999997,711,27,0,0,,0,0,claude-haiku-4-5,,0.200,0.6000,5753
jhipster-3,jh3-none,C3,3,16,1,1037610572,1,solved,5032,132,26,0,0.16475484999999998,604,28,0,0,,0,0,claude-haiku-4-5,,0.250,0.6400,6726
jhipster-3,jh3-none,C3,3,16,2,1037610574,1,solved,3867,133,26,0,0.1502854,861,27,0,0,,0,0,claude-haiku-4-5,,0.250,0.6400,6726
jhipster-3,jh3-none,C3,3,16,3,1037612376,1,solved,3888,102,21,0,0.13914565000000004,338,22,0,0,,0,0,claude-haiku-4-5,,0.250,0.6400,6726
jhipster-3,jh3-none,C3,3,16,4,1037612378,1,solved,5072,2608,33,0,0.2474605,832,35,0,0,,0,0,claude-haiku-4-5,,0.250,0.6400,6726
jhipster-3,jh3-none,C3,3,16,5,1037612380,1,solved,5862,709,30,0,0.19808405000000004,692,31,0,0,,0,0,claude-haiku-4-5,,0.250,0.6400,6726
jhipster-3,jh3-none,C4,4,17,1,1037612382,1,solved,4887,139,30,1,0.17556329999999995,729,31,0,0,,0,0,claude-haiku-4-5,,0.300,0.6800,9020
jhipster-3,jh3-none,C4,4,17,2,1037612384,1,solved,,,37,0,,900,,1,0,,1,0,claude-haiku-4-5,,0.300,0.6800,9020
jhipster-3,jh3-none,C4,4,17,3,1037612386,1,solved,3858,119,24,0,0.13660885,651,25,0,0,,0,0,claude-haiku-4-5,,0.300,0.6800,9020
jhipster-3,jh3-none,C4,4,17,4,1037612388,1,solved,5496,156,33,1,0.25938515,606,34,0,0,,0,0,claude-haiku-4-5,,0.300,0.6800,9020
jhipster-3,jh3-none,C4,4,17,5,1037612390,1,solved,3541,2745,23,0,0.16089994999999999,362,24,0,0,,0,0,claude-haiku-4-5,,0.300,0.6800,9020
jhipster-3,jh3-none,C5,5,18,1,1037612392,1,solved,4643,150,32,0,0.24182255000000002,505,33,0,0,,0,0,claude-haiku-4-5,,0.400,0.7200,9968
jhipster-3,jh3-none,C5,5,18,2,1037612394,1,solved,,,75,2,,900,,1,0,,1,0,claude-haiku-4-5,,0.400,0.7200,9968
jhipster-3,jh3-none,C5,5,18,3,1037612396,1,solved,5596,155,32,0,0.2090595,423,33,0,0,,0,0,claude-haiku-4-5,,0.400,0.7200,9968
jhipster-3,jh3-none,C5,5,18,4,1037612398,1,solved,8268,256,43,0,0.36078954999999996,650,51,0,0,,0,0,claude-haiku-4-5,,0.400,0.7200,9968
jhipster-3,jh3-none,C5,5,18,5,1037612400,1,solved,3688,99,22,0,0.11477355,515,23,0,0,,0,0,claude-haiku-4-5,,0.400,0.7200,9968
petclinic-36,pc36-none,C1,1,11,1,1037599138,1,solved,10731,195,45,8,0.33910965000000004,784,46,0,0,,0,0,claude-haiku-4-5,,0.000,0.5500,2199
petclinic-36,pc36-none,C1,1,11,2,1037599140,1,solved,12270,1477,49,10,0.37360209999999994,900,50,0,0,,1,0,claude-haiku-4-5,,0.000,0.5500,2199
petclinic-36,pc36-none,C1,1,11,3,1037599142,1,solved,11647,182,46,12,0.32220095,636,47,0,0,,0,0,claude-haiku-4-5,,0.000,0.5500,2199
petclinic-36,pc36-none,C1,1,11,4,1037599144,1,solved,,,50,12,,900,,1,0,,1,0,claude-haiku-4-5,,0.000,0.5500,2199
petclinic-36,pc36-none,C1,1,11,5,1037610460,1,solved,212,10,45,8,0.40969619999999995,723,1,0,0,,0,0,claude-haiku-4-5,,0.000,0.5500,2199
petclinic-36,pc36-none,C2,2,12,1,1037610480,1,solved,3362,112,22,0,0.17726180000000002,468,23,0,0,,0,0,claude-haiku-4-5,,0.100,0.6000,17581
petclinic-36,pc36-none,C2,2,12,2,1037610482,1,solved,2622,77,17,0,0.12054870000000001,278,18,0,0,,0,0,claude-haiku-4-5,,0.100,0.6000,17581
petclinic-36,pc36-none,C2,2,12,3,1037610484,1,solved,5142,713,36,0,0.29054205,885,37,0,0,,0,0,claude-haiku-4-5,,0.100,0.6000,17581
petclinic-36,pc36-none,C2,2,12,4,1037610486,1,solved,7158,174,48,11,0.3146399999999999,347,49,0,0,,0,0,claude-haiku-4-5,,0.100,0.6000,17581
petclinic-36,pc36-none,C2,2,12,5,1037610489,1,solved,9315,1697,62,12,0.5003218500000001,447,63,0,0,,0,0,claude-haiku-4-5,,0.100,0.6000,17581
petclinic-36,pc36-none,C3,3,13,1,1037610491,1,solved,,,35,0,,900,,1,0,,1,0,claude-haiku-4-5,,0.200,0.6500,23264
petclinic-36,pc36-none,C3,3,13,2,1037610493,1,solved,3715,108,30,0,0.17013460000000002,276,31,0,0,,0,0,claude-haiku-4-5,,0.200,0.6500,23264
petclinic-36,pc36-none,C3,3,13,3,1037610495,1,solved,3845,117,27,0,0.19208205000000003,403,28,0,0,,0,0,claude-haiku-4-5,,0.200,0.6500,23264
petclinic-36,pc36-none,C3,3,13,4,1037610497,1,solved,5030,159,32,0,0.25562495,747,33,0,0,,0,0,claude-haiku-4-5,,0.200,0.6500,23264
petclinic-36,pc36-none,C3,3,13,5,1037610499,1,solved,,,26,0,,528,,1,0,,0,0,claude-haiku-4-5,,0.200,0.6500,23264
petclinic-rest-37,pcr37-mcp,C1,1,7,1,1037612402,1,solved,3777,96,15,2,0.13241465,282,16,0,0,,0,0,claude-haiku-4-5,,-0.063,0.2917,0
petclinic-rest-37,pcr37-mcp,C1,1,7,2,1037612404,1,solved,4241,89,14,3,0.13740815,315,15,0,0,,0,0,claude-haiku-4-5,,-0.063,0.2917,0
petclinic-rest-37,pcr37-mcp,C1,1,7,3,1037612406,1,solved,3946,108,17,2,0.1488011,415,18,0,0,,0,0,claude-haiku-4-5,,-0.063,0.2917,0
petclinic-rest-37,pcr37-mcp,C1,1,7,4,1037612408,1,solved,4836,127,21,2,0.15265810000000002,501,22,0,0,,0,0,claude-haiku-4-5,,-0.063,0.2917,0
petclinic-rest-37,pcr37-mcp,C1,1,7,5,1037612410,1,solved,3317,82,13,2,0.10804325000000001,195,14,0,0,,0,0,claude-haiku-4-5,,-0.063,0.2917,0
petclinic-rest-37,pcr37-mcp,C2,2,8,1,1037612412,1,solved,4664,139,23,3,0.19507399999999994,615,24,0,0,,0,0,claude-haiku-4-5,,0.000,0.3333,2479
petclinic-rest-37,pcr37-mcp,C2,2,8,2,1037612414,1,solved,4299,1750,16,2,0.129517,490,17,0,0,,0,0,claude-haiku-4-5,,0.000,0.3333,2479
petclinic-rest-37,pcr37-mcp,C2,2,8,3,1037612416,0,tampered,4850,135,23,2,0.1769562,567,24,0,0,,0,1,claude-haiku-4-5,,0.000,0.3333,2479
petclinic-rest-37,pcr37-mcp,C2,2,8,4,1037612418,1,solved,4910,105,18,2,0.15976385,325,19,0,0,,0,0,claude-haiku-4-5,,0.000,0.3333,2479
petclinic-rest-37,pcr37-mcp,C2,2,8,5,1037612420,1,solved,12380,239,42,9,0.42015645000000007,1063,43,0,0,,0,0,claude-haiku-4-5,,0.000,0.3333,2479
petclinic-rest-37,pcr37-mcp,C3,3,20,1,1037612422,0,tampered,4789,121,21,2,0.17025345,544,22,0,0,,0,1,claude-haiku-4-5,,0.750,0.8333,4182
petclinic-rest-37,pcr37-mcp,C3,3,20,2,1037612424,0,tampered,7535,187,33,5,0.24514460000000002,485,34,0,0,,0,1,claude-haiku-4-5,,0.750,0.8333,4182
petclinic-rest-37,pcr37-mcp,C3,3,20,3,1037612426,0,tampered,8059,209,37,4,0.28436510000000004,556,38,0,0,,0,1,claude-haiku-4-5,,0.750,0.8333,4182
petclinic-rest-37,pcr37-mcp,C3,3,20,4,1037612428,1,solved,8784,191,32,5,0.25143655,671,33,0,0,,0,0,claude-haiku-4-5,,0.750,0.8333,4182
petclinic-rest-37,pcr37-mcp,C3,3,20,5,1037612430,1,solved,8415,188,34,5,0.2680754,643,35,0,0,,0,0,claude-haiku-4-5,,0.750,0.8333,4182
